Listing ID,Listing Name,Host ID,Host Name,Host Since,Host Response Time,Host Response Rate,Is Superhost,neighbourhood,Neighborhood Group,City,Postal Code,Country Code,Country,Latitude,Longitude,Is Exact Location,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Square Feet,Guests Included,Min Nights,Reviews,First Review,Last Review,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready,Price
19665213,*,156079597,Maximilian,20/1/2016,,,f,Prenzlauer Berg,Pankow,Berlin,10437,DE,Germany,52.54652,13.41792,t,Apartment,Private room,2,1,1,1,,1,2,6,7/7/2017,8/8/2017,100,10,10,10,10,9,10,t,f,26
6436842,*,5302290,Dulie,7/4/2013,,,f,Pankow,Pankow,Berlin,13187,DE,Germany,52.56512,13.42214,t,Apartment,Entire home/apt,2,1,2,2,,2,7,6,26/5/2015,30/4/2019,90,9,9,10,10,9,10,f,f,41
10559468,*,59151456,Geank,7/2/2016,,,f,Prenzlauer Berg,Pankow,Berlin,10439,DE,Germany,52.54741,13.42521,t,Apartment,Entire home/apt,3,1,1,2,,1,1,2,19/4/2016,4/7/2016,100,10,10,10,10,10,10,f,f,50
27215482,*,193452785,Alix,26/6/2018,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245,DE,Germany,52.50958,13.45144,t,Apartment,Private room,2,1,1,1,,1,2,4,31/7/2018,12/8/2018,100,10,10,10,10,10,9,f,f,50
27287546,*,205870244,Lurina,16/5/2013,within a few hours,92%,t,Prenzlauer Berg,Pankow,Berlin,10405,DE,Germany,52.52995,13.41558,t,Apartment,Private room,3,1,1,2,,1,6,0,,,,,,,,,,t,f,55
26590915,*,90250336,Zan,22/8/2016,within an hour,100%,t,Mariendorf,Tempelhof - SchÃ¶neberg,Berlin,*,DE,Germany,52.44826,13.40608,t,Condominium,Private room,3,1,1,2,,2,1,10,25/9/2018,3/5/2019,99,10,9,10,10,10,10,t,f,39
32996974,*,5947005,Meler,13/3/2013,within a day,80%,f,Wilmersdorf,Charlottenburg-Wilm.,Berlin,*,DE,Germany,52.49453,13.32802,t,Apartment,Entire home/apt,4,1,2,2,,2,5,5,13/3/2019,20/4/2019,97,10,10,10,10,10,10,f,f,94
17364275,*,19435959,Alise,30/4/2015,within an hour,100%,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10997,DE,Germany,52.50021,13.43514,t,Apartment,Entire home/apt,4,2,1,2,,1,6,14,20/8/2018,23/4/2019,94,9,9,10,10,10,10,t,f,73
23775462,*,151814038,Ologfi,11/9/2017,,,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961,DE,Germany,52.49598,13.39327,f,Apartment,Entire home/apt,2,1,2,1,,2,4,13,3/4/2017,3/12/2017,93,9,10,9,9,10,9,f,f,100
13483316,*,72266241,Aselgiiud,6/5/2016,within an hour,100%,f,Moabit,Mitte,Berlin,10553,DE,Germany,52.53145,13.3171,t,Apartment,Private room,4,1,1,4,,4,6,2,8/8/2016,25/7/2018,100,10,9,10,10,9,10,f,f,50
19678959,*,6117678,David,9/6/2013,within an hour,100%,f,Wilmersdorf,Charlottenburg-Wilm.,Berlin,14197,DE,Germany,52.47667,13.31001,f,Apartment,Entire home/apt,2,1,1,1,,1,1,2,7/3/2017,9/5/2018,80,10,10,10,10,9,7,t,f,50
8593560,*,49956603,Nadon,7/3/2015,within a few hours,100%,t,NeukÃ¶lln,NeukÃ¶lln,Berlin,12047,DE,Germany,52.49554,13.42865,t,Apartment,Private room,3,1,1,2,,2,2,15,26/8/2015,24/2/2019,99,10,10,10,10,10,9,f,f,58
10932366,*,14883720,Jarp,31/1/2014,,,f,Alt-Treptow,Treptow - KÃ¶penick,Berlin,12435,DE,Germany,52.4938,13.45237,t,Apartment,Private room,1,1,1,1,,1,*,6,7/1/2016,16/7/2016,100,10,9,10,10,10,10,f,f,25
4110902,*,1647025,Antrin,3/1/2012,,,f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,Berlin,10781,DE,Germany,52.49246,13.35544,t,Apartment,Private room,2,1,1,1,,1,3,99,20/10/2013,13/6/2018,97,10,10,9,10,10,10,f,f,55
34518564,*,252997742,Lugaic,9/4/2019,within an hour,100%,f,Reinickendorf,Reinickendorf,Berlin,13407,DE,Germany,52.56552,13.34962,t,Apartment,Entire home/apt,2,1,1,1,,1,4,0,,,,,,,,,,t,f,80
28848588,*,48560785,Alexander,29/11/2015,within an hour,100%,f,Mitte,Mitte,Berlin,,DE,Germany,52.53551,13.38475,f,Apartment,Private room,3,1,1,1,,1,20,1,16/11/2018,6/5/2019,100,10,10,10,10,10,10,f,f,50
34562533,*,14497378,Nerin,24/2/2014,within a few hours,71%,f,Karlshorst,Lichtenberg,Berlin,*,DE,Germany,52.4861,13.52592,t,Apartment,Private room,1,1,1,1,,1,6,0,,,,,,,,,,t,f,35
11240218,*,48331272,Max,9/11/2015,within an hour,83%,f,WeiÃensee,Pankow,Berlin,13086,DE,Germany,52.5511,13.45517,t,Apartment,Entire home/apt,4,1,0,2,,1,14,2,25/12/2018,22/8/2018,100,10,10,10,10,10,10,t,f,50
23130495,*,11591761,Aloxandra,7/1/2014,,,t,NeukÃ¶lln,NeukÃ¶lln,Berlin,12055,DE,Germany,52.47793,13.44469,t,Apartment,Private room,2,1,1,2,,1,3,20,17/4/2018,2/1/2019,92,10,10,9,10,9,9,f,f,19
2563613,*,11740575,Anarli,12/1/2014,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245,DE,Germany,52.50624,13.45066,f,Apartment,Entire home/apt,2,1,1,1,,1,21,3,1/5/2014,29/6/2015,100,10,10,10,10,10,10,f,f,40
16366018,*,17763929,Toms,1/7/2014,,,f,Friedenau,Tempelhof - SchÃ¶neberg,Berlin,12161,DE,Germany,52.46745,13.33923,t,Apartment,Shared room,2,1,1,1,,1,1,10,26/7/2016,28/6/2018,98,10,10,10,10,10,10,f,f,40
65366,*,5876992,Darius,24/5/2013,within a few hours,100%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10249,DE,Germany,52.51834,13.42853,t,Apartment,Entire home/apt,2,1,1,2,,2,4,69,2/1/2013,19/4/2019,92,10,9,10,10,10,10,f,f,81
11535036,*,55092971,Maic,20/1/2016,within an hour,100%,f,Hansaviertel,Mitte,Berlin,10555,DE,Germany,52.52053,13.33493,t,Apartment,Private room,4,1,1,2,,2,3,16,23/6/2016,4/5/2019,97,10,10,10,10,10,10,t,f,30
15764336,*,98350595,Luns,11/10/2016,,,f,Wedding,Mitte,Berlin,13353,DE,Germany,52.54089,13.34747,t,Apartment,Entire home/apt,4,1,1,4,,1,4,36,23/6/2016,5/2/2018,79,9,8,10,10,9,9,f,f,70
31021516,*,29285814,Peuly,9/3/2015,within an hour,98%,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10999,DE,Germany,52.49552,13.42568,t,Apartment,Entire home/apt,2,1,0,1,,1,1,4,12/2/2019,26/4/2019,75,10,8,10,10,10,10,t,f,59
30251328,*,222017023,Serifanz,19/11/2018,,,f,NeukÃ¶lln,NeukÃ¶lln,Berlin,12053,DE,Germany,52.48608,13.42603,t,Apartment,Private room,2,1,1,1,,1,3,3,27/12/2018,2/10/2018,93,9,9,8,8,10,9,t,f,39
19336937,*,80287022,Julia,2/7/2016,,,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10969,DE,Germany,52.49706,13.48321,t,Apartment,Private room,2,1,1,1,,1,2,5,19/8/2017,16/7/2017,97,10,10,10,10,10,10,f,f,35
23644417,*,83106519,Mannah,12/1/2013,,,f,Charlottenburg,Charlottenburg-Wilm.,Berlin,10629,DE,Germany,52.50287,13.31532,t,Apartment,Private room,2,1,1,1,,1,7,0,,,,,,,,,,f,f,100
1942266,*,5237374,Edw,8/2/2013,,,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10961,DE,Germany,52.49036,13.39564,t,Apartment,Entire home/apt,4,1.5,2,2,831,2,4,16,24/11/2017,20/7/2018,95,10,9,10,10,10,9,f,f,69
23963522,*,178572789,Lena,4/3/2018,within a few hours,78%,f,Prenzlauer Berg,Pankow,Berlin,10439,DE,Germany,52.54726,13.41555,t,Apartment,Entire home/apt,6,1,2,1,,2,5,3,4/5/2018,8/4/2019,100,10,10,10,10,10,10,f,f,100
32040749,*,239587077,Anar,5/1/2019,within an hour,100%,f,Wilmersdorf,Charlottenburg-Wilm.,Berlin,10709,DE,Germany,52.49467,13.30176,f,Apartment,Private room,2,1,1,2,,1,3,5,9/2/2019,7/4/2019,75,6,10,8,10,9,8,f,f,18
24668492,*,92128914,Tasja,24/8/2016,within an hour,89%,f,Wedding,Mitte,Berlin,13357,DE,Germany,52.55234,13.37216,t,Apartment,Private room,2,1,1,1,,1,5,5,25/6/2018,18/4/2019,88,9,8,10,9,8,9,t,f,59
11546048,*,61493875,Alexandra,28/3/2016,,,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10967,DE,Germany,52.49078,13.41913,t,Apartment,Private room,2,1,1,1,,2,3,8,3/1/2016,30/6/2018,100,10,10,10,10,10,10,f,f,140
6771824,*,20016771,Victores,25/8/2014,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245,DE,Germany,52.51274,13.45579,t,Apartment,Private room,3,1,1,1,,1,6,1,1/4/2017,29/4/2018,100,10,10,10,10,10,10,f,f,49
563288,*,2211198,Denja,31/5/2012,within an hour,100%,f,Steglitz,Steglitz - Zehlendorf,Berlin,12167,DE,Germany,52.44683,13.32564,t,Apartment,Entire home/apt,2,1,1,1,,1,6,25,7/7/2012,27/3/2019,94,10,9,10,10,9,9,f,f,75
12250974,*,10555723,Leit,29/10/2013,,,f,Wedding,Mitte,Berlin,13347,DE,Germany,52.55458,13.36615,t,Apartment,Entire home/apt,3,1,2,2,,1,*,0,,,,,,,,,,f,f,52
27072400,*,195460321,Deadmiit,13/6/2018,,,f,Prenzlauer Berg,Pankow,Berlin,10407,DE,Germany,52.52873,13.43632,t,Apartment,Entire home/apt,2,1,1,1,,1,4,2,11/8/2018,26/7/2018,80,9,7,10,10,7,6,t,f,42
15666204,*,8119914,Fedkuy,3/9/2013,,,f,Prenzlauer Berg,Pankow,Berlin,10405,DE,Germany,52.53341,13.42482,f,Apartment,Private room,2,1,1,1,,1,2,0,,,,,,,,,,f,f,45
20789849,*,29630426,Safa,2/3/2015,within an hour,100%,f,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,10999,DE,Germany,52.49605,13.43737,f,Apartment,Entire home/apt,10,2,3,8,,5,4,32,24/9/2017,1/5/2019,98,10,10,10,10,10,10,f,f,125
34124223,*,49533896,Andreas,11/11/2015,within an hour,100%,f,NeukÃ¶lln,NeukÃ¶lln,Berlin,12049,DE,Germany,52.47642,13.42217,t,Apartment,Private room,4,2,1,2,,1,1,2,8/4/2019,7/5/2019,,,,,,,,t,f,70
28172501,*,198480100,Tarls,14/6/2018,within a day,50%,f,Baumschulenweg,Treptow - KÃ¶penick,Berlin,12437,DE,Germany,52.46928,13.47197,f,Bed and breakfast,Private room,1,1,1,1,,1,1,26,9/11/2018,1/4/2019,98,10,10,10,10,9,10,t,f,10
27668460,*,23335757,Delaeline,17/1/2015,within an hour,100%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245,DE,Germany,52.50456,13.46881,t,Apartment,Private room,2,1,1,1,,1,2,1,5/5/2018,22/3/2019,100,10,8,10,10,10,10,f,f,40
26114155,*,126139053,Jakob,8/9/2017,,,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10247,DE,Germany,52.51691,13.47234,t,Apartment,Entire home/apt,2,1,1,1,,1,1,5,13/5/2018,15/9/2018,95,10,10,10,10,10,10,t,f,32
13953995,*,65712528,Kath,25/5/2016,within an hour,100%,t,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10249,DE,Germany,52.51932,13.45496,t,Apartment,Private room,1,1,1,1,,1,3,26,8/4/2016,23/4/2019,99,10,10,10,10,10,10,f,f,28
23075013,*,174050166,Kenstan,28/2/2018,,,f,Wedding,Mitte,Berlin,13353,DE,Germany,52.54471,13.36597,t,Apartment,Entire home/apt,3,1,1,1,,1,3,0,,,,,,,,,,f,f,38
13757890,*,73835704,Loun,30/3/2016,,,f,Prenzlauer Berg,Pankow,Berlin,10407,DE,Germany,52.53199,13.43551,t,Apartment,Private room,3,1,1,2,,1,2,4,31/5/2016,28/8/2016,87,8,8,9,8,9,9,f,f,21
